sample_id	filtered_input	filtered_output	denoised_forward	denoised_reverse	merged	nonchim	filter_retention_pct	merge_retention_pct	nonchim_retention_pct	chimera_loss_pct
Z3.2t90	62131	56139	56130	56131	56126	56118	90.3558610033639	90.3349374708278	90.3220614508056	0.0128760200222111
Z3.3t30	64072	59392	59321	59154	58961	58570	92.6957173180172	92.0230365838432	91.4127856161818	0.610250967661381
Z3.3t7	65152	59630	59556	59568	59503	58791	91.5244351669941	91.3295063850688	90.2366773084479	1.09282907662083
Z3.3t90	72191	66254	66213	66186	65984	65920	91.7759831557951	91.4019753154825	91.3133216051862	0.0886537102962973
Z3.4t30	67564	61778	61658	61636	61496	60530	91.4362678349417	91.0188857971701	89.5891303060802	1.42975549108993
Z3.4t7	62127	58271	58137	58101	57556	55727	93.7933587651102	92.6424903826034	89.6985207719671	2.94396961063628
Z3.4t90	66550	59759	59684	59685	59614	59583	89.7956423741548	89.5777610818933	89.5311795642374	0.0465815176558978
Z3.5t30	63913	59089	58836	58791	57854	51348	92.4522397634284	90.5199255237589	80.3404628166414	10.1794627071175
Z3.5t7	66440	59808	59791	59800	59634	48849	90.0180614087899	89.7561709813366	73.5234798314269	16.2326911499097
Z3.5t90	69459	63675	63659	63658	63657	63657	91.6727853841835	91.646870815877	91.646870815877	0
