"assemblage","sequencing_depth","Method","expected_asvs","timepoint","diet_code","samples","total_reads","observed_asvs_pooled"
"D07__BL15",204000,"Rarefaction",137.450018801775,"D07","BL15",15,746251,138
"D07__BL15",205000,"Rarefaction",137.455529988561,"D07","BL15",15,746251,138
"D07__BL15",206000,"Rarefaction",137.460968344401,"D07","BL15",15,746251,138
"D07__BL15",207000,"Rarefaction",137.46633507355,"D07","BL15",15,746251,138
"D07__BL15",208000,"Rarefaction",137.471631358877,"D07","BL15",15,746251,138
"D07__BL15",209000,"Rarefaction",137.476858362057,"D07","BL15",15,746251,138
"D07__BL15",210000,"Rarefaction",137.48201722358,"D07","BL15",15,746251,138
"D07__BL15",211000,"Rarefaction",137.487109063999,"D07","BL15",15,746251,138
"D07__BL15",212000,"Rarefaction",137.492134983349,"D07","BL15",15,746251,138
"D07__BL15",213000,"Rarefaction",137.497096062423,"D07","BL15",15,746251,138
"D07__BL15",214000,"Rarefaction",137.501993362636,"D07","BL15",15,746251,138
"D07__BL15",215000,"Rarefaction",137.506827926346,"D07","BL15",15,746251,138
"D07__BL15",216000,"Rarefaction",137.511600777608,"D07","BL15",15,746251,138
"D07__BL15",217000,"Rarefaction",137.516312922193,"D07","BL15",15,746251,138
"D07__BL15",218000,"Rarefaction",137.520965348039,"D07","BL15",15,746251,138
"D07__BL15",219000,"Rarefaction",137.52555902572,"D07","BL15",15,746251,138
"D07__BL15",220000,"Rarefaction",137.530094908515,"D07","BL15",15,746251,138
"D07__BL15",221000,"Rarefaction",137.534573932928,"D07","BL15",15,746251,138
"D07__BL15",222000,"Rarefaction",137.538997018919,"D07","BL15",15,746251,138
"D07__BL15",223000,"Rarefaction",137.543365070331,"D07","BL15",15,746251,138
"D07__BL15",224000,"Rarefaction",137.54767897492,"D07","BL15",15,746251,138
"D07__BL15",225000,"Rarefaction",137.551939605004,"D07","BL15",15,746251,138
"D07__BL15",226000,"Rarefaction",137.5561478175,"D07","BL15",15,746251,138
"D07__BL15",227000,"Rarefaction",137.560304454248,"D07","BL15",15,746251,138
